forecast(MEaI Transformer),Real value
27.925953,23.0
27.648155,23.0
27.649,17.0
27.563555,23.0
27.355776,26.0
26.9944,22.0
26.47982,17.0
26.188873,23.0
25.774738,16.0
25.365408,16.0
24.920815,12.0
24.691162,13.0
24.321095,17.0
23.689463,21.0
23.217228,19.0
22.559237,14.0
21.721949,24.0
20.755566,23.0
19.566118,24.0
18.336123,22.0
17.127268,27.0
15.307545,23.0
13.478872,26.0
11.713549,24.0
