지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m)
108,서울,2018-01-01 00:00,-3.2,,.5,110,40,1015.4,,,0,0,,1358
108,서울,2018-01-01 01:00,-3.3,,.7,360,41,1015.1,,,,0,,2000
108,서울,2018-01-01 02:00,-3.7,,.9,270,42,1015.2,,,,0,,2000
108,서울,2018-01-01 03:00,-4,,1,290,44,1015.5,,,0,0,,2000
108,서울,2018-01-01 04:00,-4.2,,1.1,290,53,1015.5,,,0,0,,1994
108,서울,2018-01-01 05:00,-4.4,,.8,290,54,1015.7,,,0,0,,1786
108,서울,2018-01-01 06:00,-4.5,,1.1,320,51,1015.8,,,0,0,,2000
108,서울,2018-01-01 07:00,-4.7,,1.1,290,56,1016.1,,,0,0,,2000
108,서울,2018-01-01 08:00,-5,,1,290,55,1016.5,0,0,0,0,,2000
108,서울,2018-01-01 09:00,-4.3,,.7,290,39,1017,.6,.15,0,0,,1973
108,서울,2018-01-01 10:00,-1.6,,.8,270,32,1017.7,1,.53,0,0,,1766
108,서울,2018-01-01 11:00,.1,,2.2,320,27,1018.1,1,.84,1,1,35,1874
108,서울,2018-01-01 12:00,1.5,,2.8,290,20,1017.6,1,1.03,1,0,,1992
108,서울,2018-01-01 13:00,2.4,,2.3,290,22,1016.7,1,1.1,0,0,,1921
108,서울,2018-01-01 14:00,3.7,,2.1,230,24,1016.4,1,1.01,6,2,17,1906
108,서울,2018-01-01 15:00,3,,2.9,320,27,1016.1,1,.78,7,7,14,1715
108,서울,2018-01-01 16:00,3,,2.5,230,28,1016.5,.9,.51,6,6,15,1864
108,서울,2018-01-01 17:00,1.8,,3.3,270,33,1016.6,.8,.18,0,0,,1913
108,서울,2018-01-01 18:00,.8,,1.9,270,34,1017.1,0,.01,0,0,,1887
108,서울,2018-01-01 19:00,-.1,,1.3,290,39,1017.3,,,,0,,1911
108,서울,2018-01-01 20:00,-.3,,1.2,320,40,1017.4,,,,0,,1936
108,서울,2018-01-01 21:00,-.9,,1.2,320,44,1017.5,,,0,0,,1871
108,서울,2018-01-01 22:00,-1.3,,.8,320,48,1017.6,,,,0,,1927
108,서울,2018-01-01 23:00,-1.6,,.7,320,51,1017.6,,,,0,,1882
108,서울,2018-01-02 00:00,-1.8,,1.1,290,54,1017.8,,,0,0,,1772
108,서울,2018-01-02 01:00,-2.1,,.8,290,56,1017.7,,,,0,,1732
108,서울,2018-01-02 02:00,-2.3,,.9,20,62,1017.7,,,,0,,1560
108,서울,2018-01-02 03:00,-2.5,,.4,0,62,1017.9,,,0,0,,1626
108,서울,2018-01-02 04:00,-2.7,,.5,20,67,1017.5,,,0,0,,1302
108,서울,2018-01-02 05:00,-3.1,,.6,20,67,1017.4,,,0,0,,1384
108,서울,2018-01-02 06:00,-3.2,,.4,0,67,1017.8,,,0,0,,1409
108,서울,2018-01-02 07:00,-3.2,,.5,20,69,1018.1,,,0,0,,1249
108,서울,2018-01-02 08:00,-3.4,,.8,360,71,1018.2,0,0,0,0,,1179
108,서울,2018-01-02 09:00,-3.1,,.2,0,66,1018.5,0,.12,0,0,,1168
108,서울,2018-01-02 10:00,-1.4,,1.9,290,50,1018.9,1,.38,0,0,,1355
108,서울,2018-01-02 11:00,-.4,,2.3,290,40,1019.1,1,.66,0,0,,1633
108,서울,2018-01-02 12:00,.9,,1.9,270,29,1018.5,1,.88,0,0,,1761
108,서울,2018-01-02 13:00,1.5,,3.6,290,23,1017.7,1,.95,0,0,,1970
108,서울,2018-01-02 14:00,1.7,,4.4,290,20,1017.4,1,.91,0,0,,1995
108,서울,2018-01-02 15:00,1.5,,3,290,22,1017,1,.76,4,0,,1998
108,서울,2018-01-02 16:00,1.3,,2.9,290,23,1017.2,1,.51,0,0,,2000
108,서울,2018-01-02 17:00,.3,,2.6,270,27,1017.5,.9,.18,0,0,,2000
108,서울,2018-01-02 18:00,-.8,,2.3,270,24,1018.5,0,.01,3,0,,2000
108,서울,2018-01-02 19:00,-1.3,,2.4,290,28,1017.9,,,,0,,2000
108,서울,2018-01-02 20:00,-1.9,,2.2,320,26,1017.8,,,,8,70,2000
108,서울,2018-01-02 21:00,-2.6,,2,340,28,1017.4,,,3,0,,2000
108,서울,2018-01-02 22:00,-3.4,,2.4,290,33,1017.9,,,,5,55,2000
108,서울,2018-01-02 23:00,-3.8,,2.3,360,35,1018.6,,,,9,54,2000
108,서울,2018-01-03 00:00,-4.3,,1.4,340,38,1019.5,,,8,0,,2000
108,서울,2018-01-03 01:00,-5,,1.2,340,42,1019.3,,,,9,54,1993
108,서울,2018-01-03 02:00,-5.5,,2,320,43,1019.9,,,,0,61,2000
108,서울,2018-01-03 03:00,-6.1,,1.3,320,45,1020.3,,,6,0,,1999
108,서울,2018-01-03 04:00,-6.1,,2.3,320,45,1020.1,,,8,0,,2000
108,서울,2018-01-03 05:00,-6.4,,2.4,290,47,1020,,,8,0,,1981
108,서울,2018-01-03 06:00,-6.7,,2.4,290,48,1019.8,,,6,0,,1991
108,서울,2018-01-03 07:00,-6.9,,2.4,290,48,1020.3,,,4,0,,1974
108,서울,2018-01-03 08:00,-7,,1.5,290,49,1020.8,0,0,3,0,,1971
108,서울,2018-01-03 09:00,-6.8,,1.7,290,44,1021.3,.6,.16,1,0,,1858
108,서울,2018-01-03 10:00,-5.6,,2.9,340,38,1021.5,1,.55,6,0,,1752
108,서울,2018-01-03 11:00,-4.5,,3.2,290,36,1021.7,1,.77,7,0,,1736
108,서울,2018-01-03 12:00,-3.4,,3.1,320,32,1020.7,1,1.02,3,0,,1706
108,서울,2018-01-03 13:00,-2.2,,2.3,320,31,1019.9,1,1.13,7,0,,1910
108,서울,2018-01-03 14:00,-1.5,,2.8,320,30,1019.4,1,1.1,1,0,,1903
108,서울,2018-01-03 15:00,-1.1,,2.8,320,29,1019.1,1,.96,4,0,,1976
108,서울,2018-01-03 16:00,-.4,,2,290,30,1019.3,1,.62,1,0,,2000
108,서울,2018-01-03 17:00,-1.9,,1.8,290,35,1019.2,1,.25,1,0,,2000
108,서울,2018-01-03 18:00,-3.1,,2.1,270,39,1018.9,0,0,0,0,,2000
108,서울,2018-01-03 19:00,-3.7,,2,290,41,1019.5,,,,0,,2000
108,서울,2018-01-03 20:00,-3.9,,2.5,290,44,1019.3,,,,0,,2000
108,서울,2018-01-03 21:00,-4.3,,2.8,320,47,1019.3,,,7,0,,1997
108,서울,2018-01-03 22:00,-5.2,,1.3,340,53,1019.8,,,,0,,1969
108,서울,2018-01-03 23:00,-5.9,,.8,360,54,1020.1,,,,0,,1968
108,서울,2018-01-04 00:00,-6.3,,1.4,290,54,1019.9,,,2,0,,1990
108,서울,2018-01-04 01:00,-6.9,,2.3,270,56,1019.8,,,,0,,1994
108,서울,2018-01-04 02:00,-7.3,,2,270,57,1019.9,,,,0,,1978
108,서울,2018-01-04 03:00,-7.4,,1.7,290,54,1020.4,,,3,0,,1968
108,서울,2018-01-04 04:00,-7.5,,1.3,290,55,1020.1,,,3,0,,1984
108,서울,2018-01-04 05:00,-7.6,,1.3,360,49,1019.7,,,1,0,,2000
108,서울,2018-01-04 06:00,-7.6,,2.3,290,47,1019.3,,,1,0,,2000
108,서울,2018-01-04 07:00,-8.1,,.5,320,51,1018.9,,,0,0,,1987
108,서울,2018-01-04 08:00,-8.6,,.6,320,55,1019,0,0,3,0,,1984
108,서울,2018-01-04 09:00,-7.9,,1.2,20,48,1019,.3,.14,7,0,,1926
108,서울,2018-01-04 10:00,-6.4,,1,340,43,1019,1,.43,8,0,,1872
108,서울,2018-01-04 11:00,-4.4,,.8,20,40,1018.8,1,.69,8,0,,1671
108,서울,2018-01-04 12:00,-2.9,,.9,70,33,1017.3,1,.92,9,0,,1813
108,서울,2018-01-04 13:00,-2,,1,20,32,1016.5,1,.91,10,0,,1864
108,서울,2018-01-04 14:00,-.8,,1.4,180,32,1015.3,1,.78,10,0,,1846
108,서울,2018-01-04 15:00,-1.2,,.8,70,31,1014.9,.6,.47,9,0,,1732
108,서울,2018-01-04 16:00,-1.4,,1.8,320,34,1015,.3,.3,9,0,,1719
108,서울,2018-01-04 17:00,-2.1,,1.4,290,37,1014.9,0,.09,10,10,40,1591
108,서울,2018-01-04 18:00,-2.6,,1.4,290,38,1014.6,0,0,10,10,40,1604
108,서울,2018-01-04 19:00,-2.7,,1.4,290,39,1014,,,,9,47,1616
108,서울,2018-01-04 20:00,-2.8,,1.7,290,39,1014.3,,,,10,41,1702
108,서울,2018-01-04 21:00,-3.1,,2,270,41,1013.9,,,9,9,48,1742
108,서울,2018-01-04 22:00,-3.6,,1.3,270,46,1013.6,,,,5,53,1689
108,서울,2018-01-04 23:00,-4,,1.5,320,48,1013.2,,,,5,45,1536
108,서울,2018-01-05 00:00,-4.7,,1.8,290,52,1012.7,,,4,4,,1611
108,서울,2018-01-05 01:00,-5.1,,1.5,290,51,1012.3,,,,3,53,1550
108,서울,2018-01-05 02:00,-5.3,,1.6,270,52,1012,,,,7,49,1481
