지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m)
108,서울,2017-01-01 00:00,.2,,2.2,20,79,1018.8,,,7,7,8,491
108,서울,2017-01-01 01:00,0,,1.4,20,78,1018.9,,,,4,7,549
108,서울,2017-01-01 02:00,-.3,,1.9,50,81,1018.5,,,,1,8,483
108,서울,2017-01-01 03:00,-.7,,2,50,84,1018.8,,,0,0,,436
108,서울,2017-01-01 04:00,-1.1,,1.6,20,85,1018.6,,,0,0,,430
108,서울,2017-01-01 05:00,-1.4,,1.4,50,86,1018.3,,,0,0,,381
108,서울,2017-01-01 06:00,-1.5,,1.6,20,87,1018.1,,,3,3,7,365
108,서울,2017-01-01 07:00,-1.5,,1.4,20,87,1018.6,,,8,8,7,368
108,서울,2017-01-01 08:00,-1.3,,1.4,20,87,1019,0,.01,8,8,10,355
108,서울,2017-01-01 09:00,-.4,,1.6,20,83,1019.4,0,.16,9,9,10,384
108,서울,2017-01-01 10:00,.8,,2.1,50,77,1020.1,.1,.28,9,9,10,422
108,서울,2017-01-01 11:00,2.5,,1.9,50,71,1019.9,.6,.71,9,9,10,418
108,서울,2017-01-01 12:00,4,,1.3,50,69,1018.7,.2,.86,9,9,8,433
108,서울,2017-01-01 13:00,5.1,,1.4,20,65,1017.9,.1,.73,8,7,8,430
108,서울,2017-01-01 14:00,6.7,,.7,340,61,1017.1,.7,.9,8,7,7,442
108,서울,2017-01-01 15:00,6.9,,.9,230,65,1016.8,0,.41,9,9,8,471
108,서울,2017-01-01 16:00,6.8,,1.2,230,67,1016.5,0,.21,9,9,7,491
108,서울,2017-01-01 17:00,6.5,,.7,20,69,1016.2,0,.1,9,9,8,435
108,서울,2017-01-01 18:00,5.6,,2.4,50,70,1015.8,0,.01,8,8,9,384
108,서울,2017-01-01 19:00,4.8,,2.2,50,73,1015.5,,,,8,11,383
108,서울,2017-01-01 20:00,4.2,,1.9,70,73,1015.4,,,,6,11,383
108,서울,2017-01-01 21:00,4,,2.6,50,74,1014.6,,,9,9,10,366
108,서울,2017-01-01 22:00,3.9,,1.4,20,75,1014.4,,,,9,10,359
108,서울,2017-01-01 23:00,3.9,,1.4,20,75,1014.1,,,,9,11,357
108,서울,2017-01-02 00:00,3.9,,1.5,20,75,1014.2,,,9,9,,359
108,서울,2017-01-02 01:00,3.9,,2.1,50,75,1013.5,,,,9,11,345
108,서울,2017-01-02 02:00,3.8,,2.2,20,77,1013,,,,2,6,330
108,서울,2017-01-02 03:00,3.7,,1.7,50,76,1013.3,,,9,9,10,339
108,서울,2017-01-02 04:00,3.7,,1.5,20,77,1012.7,,,10,8,4,331
108,서울,2017-01-02 05:00,3.7,,1.5,20,80,1012.2,,,10,7,4,328
108,서울,2017-01-02 06:00,3.6,.3,1.1,20,89,1011.6,,,10,7,4,170
108,서울,2017-01-02 07:00,3.6,,1.1,360,88,1011.6,,,10,7,4,198
108,서울,2017-01-02 08:00,3.8,,1.4,20,87,1011.4,0,.01,10,6,10,224
108,서울,2017-01-02 09:00,4.1,0,.9,360,87,1011.5,0,.06,10,7,10,216
108,서울,2017-01-02 10:00,5.2,,2.4,230,86,1011.9,0,.16,9,9,10,305
108,서울,2017-01-02 11:00,6.3,,2.3,230,82,1012,0,.52,9,9,10,294
108,서울,2017-01-02 12:00,7.6,,2.1,230,70,1011.3,.3,.77,7,7,10,409
108,서울,2017-01-02 13:00,8.1,,3.1,230,69,1010.8,1,1.08,8,8,10,367
108,서울,2017-01-02 14:00,9.2,,3.1,200,59,1010.2,.9,1.15,6,6,7,331
108,서울,2017-01-02 15:00,8.3,,3.6,250,64,1010.3,.5,.71,8,8,7,305
108,서울,2017-01-02 16:00,8,,3.2,250,65,1010.7,0,.44,8,8,7,262
108,서울,2017-01-02 17:00,7.1,,2.3,250,69,1011,0,.19,6,6,7,247
108,서울,2017-01-02 18:00,6.4,,2.1,270,73,1011.4,0,.02,8,8,7,221
108,서울,2017-01-02 19:00,6,,2,250,78,1011.6,,,,9,7,193
108,서울,2017-01-02 20:00,5,,3.2,250,81,1011.9,,,,5,4,184
108,서울,2017-01-02 21:00,4.3,,3.1,270,84,1012,,,9,9,8,164
108,서울,2017-01-02 22:00,3.7,,3,290,78,1012.3,,,,6,3,197
108,서울,2017-01-02 23:00,2.8,,2.8,320,76,1012.8,,,,2,,224
108,서울,2017-01-03 00:00,1.8,,1.5,360,79,1013.2,,,0,0,,205
108,서울,2017-01-03 01:00,1,,2.6,270,82,1013.3,,,,8,6,194
108,서울,2017-01-03 02:00,.2,,1.4,270,83,1013.4,,,,1,,213
108,서울,2017-01-03 03:00,-.7,,.8,360,79,1013.7,,,0,0,,275
108,서울,2017-01-03 04:00,-1,,2.2,270,72,1014.1,,,0,0,,363
108,서울,2017-01-03 05:00,-1.3,,1.9,290,73,1014.1,,,0,0,,390
108,서울,2017-01-03 06:00,-1.8,,1.4,270,73,1013.9,,,0,0,,385
108,서울,2017-01-03 07:00,-2.1,,1.4,250,72,1014.2,,,0,0,,494
108,서울,2017-01-03 08:00,-2.1,,1.2,270,67,1014.6,0,.01,0,0,,593
108,서울,2017-01-03 09:00,-1.4,,.1,0,60,1015,.8,.25,0,0,,621
108,서울,2017-01-03 10:00,1.1,,.8,250,55,1015,1,.69,0,0,,572
108,서울,2017-01-03 11:00,4.1,,1.2,200,53,1014.7,1,1.13,0,0,,628
108,서울,2017-01-03 12:00,5.9,,2.4,200,44,1014,1,1.41,0,0,,684
108,서울,2017-01-03 13:00,7,,3,200,39,1013.2,1,1.53,0,0,,760
